#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2022-09-02T18:25:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ631248d42a3e4c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-order=I
#-out.src=I/239/hip_main
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=hipparcos&HTTPPRM:&&-ref=VIZ631248d42a3e4c&-out.max=50&-out.form=HTML Table&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HIP&-out=Vmag&Vmag=<=6&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-ignore=HIPep=*&HIPep=HIPep&Erratum=Erratum&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/239/hip_main
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-out=HIP
#-out=Vmag
#Vmag=<=6
#-out=Plx
#-out=pmRA
#-out=pmDE
#-out=e_Plx
#-out=B-V
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP|Vmag|Plx|pmRA|pmDE|e_Plx|B-V|_RA.icrs|_DE.icrs
   761| 5.42|  14.57|   72.57|   -9.99|  1.34| 0.414|002.33778595|-27.98792818
   765| 3.88|  23.28|  122.15| -180.13|  0.98| 1.013|002.35267495|-45.74742618
   813| 5.54|  10.04|   29.73|    1.64|  0.86|-0.064|002.50917617|+11.14581307
   814| 5.29|  13.45|  -21.66|  -20.39|  0.50| 1.049|002.50906524|-82.22404699
   840| 5.84|  18.18|   34.98|  -29.01|  0.92| 0.973|002.57862406|-05.24858764
   841| 5.01|   3.24|    4.51|    0.21|  0.68| 0.405|002.58019098|+46.07227168
   873| 5.84|  15.35|  149.39|  -38.22|  0.74| 1.000|002.67847777|-12.57989671
   910| 4.89|  52.94|  -84.20| -269.31|  0.77| 0.487|002.81607181|-15.46797744
   930| 5.41|   5.61|    4.61|   17.09|  0.92| 1.346|002.89341697|-27.79973666
   950| 5.24|  45.85|  169.01|  113.75|  0.66| 0.459|002.93336928|-35.13311958
   983| 5.29|   5.33|   60.48|  -24.69|  0.87| 1.478|003.04160825|-17.93827767
  1067| 2.83|   9.79|    4.70|   -8.24|  0.81|-0.190|003.30897012|+15.18359590
  1074| 5.78|   4.00|   10.97|   17.40|  0.49| 1.710|003.33175776|-84.99397839
  1086| 5.71|  28.57| -122.76| -146.91|  0.74| 0.331|003.37850157|+41.03536964
  1096| 5.94|   3.22|   37.59|  -78.73|  0.83| 1.548|003.42602016|-26.02234535
  1158| 5.13|   5.21|   61.01|    2.36|  0.79| 1.601|003.61511753|-07.78053210
  1168| 4.79|  10.01|   90.66|    1.88|  0.77| 1.572|003.65068528|+20.20670177
  1170| 4.44|   6.62|  -27.15|  -73.78|  0.82| 1.640|003.66006652|-18.93286561
  1191| 5.77|   9.40|   22.64|   -8.45|  0.78|-0.084|003.72714477|-09.56957107
  1288| 5.66|   7.64|  117.87|  -27.11|  0.83| 1.350|004.03694261|-31.44639410
  1354| 5.74|   5.08|   -6.00|   -3.46|  0.58| 0.898|004.23768117|+61.53318556
  1366| 4.61|  12.88|  -50.01|  -17.90|  1.31| 0.059|004.27290947|+38.68163564
  1372| 5.86|   3.42|    4.05|   -3.97|  0.65|-0.079|004.28768216|+47.94740530
  1473| 4.51|  23.11|  -66.51|  -42.48|  0.68| 0.054|004.58190370|+36.78522405
  1493| 5.88|   6.00|   58.09|   -2.91|  0.77|-0.014|004.65940621|+31.51722681
  1562| 3.56|  11.26|  -14.37|  -37.84|  0.73| 1.214|004.85697730|-08.82392145
  1599| 4.23| 116.38| 1707.56| 1165.36|  0.64| 0.576|005.01775052|-64.87479041
  1630| 5.89|   5.60|   15.27|   -0.64|  0.73|-0.098|005.10167651|+30.93561358
  1645| 5.38|   8.26|   -4.50|    9.59|  0.81| 1.343|005.14942330|+08.19027134
  1647| 5.50|  10.65|   -4.01|   -0.64|  0.51|-0.046|005.16265059|-69.62491310
  1657| 5.79|   5.05|  -29.44|  -17.29|  0.87| 1.595|005.18965919|+32.91118651
  1686| 5.16|  20.42|   58.32|  -39.65|  0.73| 0.442|005.28028766|+37.96860317
  1706| 5.96|   4.68|   14.23|   -6.44|  0.53| 1.397|005.36992048|-77.42687264
  1708| 5.18|  10.50|   32.77|  -71.48|  0.87| 1.006|005.37999249|-28.98146883
  1728| 5.61|   4.21|   62.63|  -12.77|  0.84| 1.580|005.44280717|-20.05802357
  1921| 5.58|   2.38|   13.70|   -4.40|  0.69|-0.110|006.06523854|+52.01991398
  1960| 5.38|   4.27|   13.67|   -2.45|  0.54| 0.008|006.19793946|+61.83105752
  1982| 5.72|   6.17|   25.80|    0.30|  0.71|-0.056|006.27671131|+53.04678574
  2006| 5.77|   5.50|  -14.33|  -12.89|  1.03| 0.855|006.35086824|+01.93969241
  2021| 2.82| 133.78| 2220.12|  324.37|  0.51| 0.618|006.43780017|-77.25424559
  2072| 3.93|  42.51|  106.14|   32.83|  0.69| 0.175|006.55084089|-43.67982953
  2081| 2.40|  42.14|  232.76| -353.64|  0.78| 1.083|006.57104571|-42.30598151
  2159| 5.99|   4.86|   32.93|  -15.26|  0.97| 1.022|006.81128534|-25.54717034
  2210| 4.86|   5.95|  -20.48|  -50.39|  0.72| 1.634|006.98207670|-33.00716708
  2219| 5.01|   6.65|  114.91|   20.48|  0.78| 1.584|007.01214583|+17.89312479
  2225| 5.18|  12.32|   84.10|  -15.33|  0.75| 0.043|007.05689073|+44.39445199
  2240| 5.42|   7.86|  135.95|  -41.36|  0.68| 1.556|007.11050391|-39.91500236
  2353| 5.72|   3.82|    8.61|  -14.51|  0.92| 1.545|007.50982453|-03.95733189
  2355| 5.20|  17.62|   43.56|  -57.18|  0.86| 0.271|007.53068761|+29.75155669
  2377| 5.94|   4.54|   16.26|   -3.94|  0.76|-0.003|007.58305272|+59.97755442
  2381| 5.17|  18.08|  -26.95|   13.97|  0.90| 0.128|007.59439188|-23.78768034
  2383| 5.67|  22.19|  163.44|  -87.30|  0.67| 0.367|007.60882391|-48.21491040
  2472| 4.76|  18.97|  140.74|   19.47|  0.64| 0.018|007.85408632|-48.80351439
  2475| 5.88|   6.98|   49.61|  -16.26|  0.79| 1.133|007.85683233|+33.58164217
  2484| 4.36|  23.35|   82.48|  -54.37|  0.52|-0.064|007.88611087|-62.95821764
  2487| 4.53|  18.95|   87.95|  -45.79|  4.35| 0.147|007.88945045|-62.96556114
  2497| 5.59|   8.29|  -55.33|  -13.14|  0.68| 1.163|007.92148970|+52.83952650
  2505| 4.74|   9.20|   40.78|  -14.81|  1.06|-0.098|007.94316214|+54.52228873
  2548| 5.69|  12.36|   45.91|    3.54|  0.80|-0.014|008.09909149|+06.95546321
  2568| 5.38|  12.69|  136.81|  -48.10|  0.72| 1.069|008.14785798|+20.29431643
  2578| 5.07|  21.52|   86.15|  -49.85|  0.49| 0.038|008.18293786|-63.03149984
  2599| 4.17|   0.79|    3.99|   -2.10|  0.52| 0.130|008.24996522|+62.93178271
  2611| 5.93|   8.68|   70.08|  -39.36|  0.71| 1.037|008.29331086|+54.89498495
  2661| 5.55|   6.56|  -27.91|  -29.31|  0.71| 1.262|008.42101003|-29.55827820
  2711| 5.57|  39.03|  227.80|   38.21|  0.62| 0.472|008.61596951|-52.37309007
  2762| 5.20|  47.51|  407.68|  -36.47|  1.15| 0.567|008.81199674|-03.59284649
  2787| 5.94|  17.97|  143.36|  -61.94|  0.74| 0.444|008.88680600|-00.50560963
  2802| 5.51|  27.61|   47.14| -101.40|  0.77| 0.461|008.92156654|-48.00090673
  2854| 5.08|   6.45|   22.98|   -1.52|  0.63|-0.098|009.03462681|+54.16845015
  2876| 5.78|   0.97|    3.05|   -1.10|  0.59| 0.294|009.11393972|+60.32621461
  2900| 5.14|   4.97|  -36.70|   31.77|  0.78| 1.587|009.19350416|+44.48858693
  2903| 5.89|   3.81|    0.91|  -14.18|  0.71|-0.146|009.19713461|+15.23172547
  2912| 4.34|   4.97|   15.23|   -3.56|  0.82|-0.123|009.22020689|+33.71934362
  2920| 3.69|   5.46|   17.77|   -9.15|  0.61|-0.196|009.24285251|+53.89690937
  2941| 5.57|  64.38| 1422.09|  -17.15|  1.40| 0.715|009.33625274|-24.76726709
  2942| 5.45|   3.19|   -9.21|   -3.57|  0.77| 0.886|009.33841421|+35.39950145
  3031| 4.34|  19.34| -229.41| -254.08|  0.76| 0.871|009.63894077|+29.31175144
  3083| 5.45|   2.45|    7.93|   -2.74|  0.68| 1.644|009.79122542|+49.35458862
  3092| 3.27|  32.19|  115.38|  -83.05|  0.68| 1.268|009.83198236|+30.86102393
  3093| 5.88|  90.03| -461.07| -370.88|  0.72| 0.850|009.84085866|+21.25047245
  3137| 6.00|  10.75|   42.69|   16.74|  0.71| 1.142|009.96645783|-44.79629257
  3138| 5.36|   7.94|   28.46|  -28.51|  0.79| 1.160|009.98154900|+21.43849510
  3170| 5.89|  39.26|  883.26|  443.01|  0.56| 0.564|010.10695771|-59.45460432
  3179| 2.24|  14.27|   50.36|  -32.17|  0.57| 1.170|010.12683548|+56.53733109
  3193| 5.90|   5.66|  -15.29|  -14.48|  0.94| 1.091|010.17655087|-04.35184070
  3231| 5.30|   9.47|  -14.37|   -3.02|  0.81| 0.891|010.27993550|+39.45866407
  3245| 4.59|  13.19|  -28.92|    1.04|  0.67| 0.953|010.33146537|-46.08500681
  3277| 5.72|  15.29|   90.15|   57.28|  0.58| 0.131|010.44332165|-56.50131553
  3299| 5.83|   6.48|   -9.79|   -8.55|  0.58| 1.042|010.51425676|+66.14759233
  3300| 4.80|   2.94|   12.32|   -6.48|  0.73|-0.105|010.51623134|+50.51252576
  3330| 5.38|  24.59|   54.11|   41.12|  0.51| 0.515|010.61822148|-65.46803008
  3352| 5.99|  13.73|  263.68|  -51.74|  0.58| 1.318|010.67479109|-60.26280759
  3405| 4.36|  13.57|   -5.16|   15.50|  0.57| 0.024|010.83849351|-57.46305996
  3414| 4.95|  18.71|  -24.52|  -37.16|  0.73| 0.170|010.86695727|+47.02454625
  3419| 2.04|  34.04|  232.79|   32.71|  0.82| 1.019|010.89737940|-17.98660460
  3455| 4.77|  15.54|   -6.96| -113.88|  0.82| 0.998|011.04750551|-10.60955044
  3456| 5.90|   8.76|  247.02|  120.68|  0.72| 1.144|011.05041376|-38.42168566
  3478| 5.66|   4.29|  -39.77|    8.54|  0.70|-0.113|011.10913203|+47.86398376
  3504| 4.48|   3.60|   17.79|   -7.62|  0.82|-0.069|011.18132380|+48.28436410
  3505| 5.22|  35.92|  -66.07|   81.15|  0.69| 0.350|011.18498226|-22.00613523
  3521| 5.94|  15.01|  -89.06|  -96.11|  0.71| 0.297|011.23772103|-42.67655849
  3544| 5.41|   9.28|  -28.35|   -5.34|  0.65| 0.022|011.32156044|+55.22139572
  3572| 5.64|  11.24|  -14.93|  -21.86|  0.55| 0.078|011.41282360|+74.98807307
  3583| 5.80|  66.92|  183.96|   78.36|  0.73| 0.635|011.43997080|-47.55198527
  3607| 5.49|   9.78|  197.14|  -12.25|  0.71| 0.978|011.54897393|-22.52209695
  3632| 5.36|   5.55|  -29.45|  -44.22|  0.82| 1.559|011.63732574|+15.47550446
  3675| 5.51|  12.45|   53.83|  -35.12|  0.81| 0.987|011.75607711|+11.97384928
  3693| 4.08|  17.98| -101.23|  -81.89|  0.83| 1.100|011.83468919|+24.26717799
  3697| 5.98|   7.16|   14.42|  -10.26|  0.94| 0.941|011.84846603|+06.74095641
  3717| 5.70|   8.11|   30.18|   34.40|  0.76| 1.300|011.93008447|-18.06133903
  3721| 5.42|   4.06|   15.03|   -5.94|  0.55|-0.066|011.94188855|+74.84757295
  3741| 5.57|   6.72|   24.99|   -7.23|  0.79|-0.058|012.00444392|-21.72249221
  3750| 5.86|  14.65|  133.71|    9.87|  1.35| 1.010|012.03807254|+72.67448173
  3760| 5.92|   4.93|  111.61|    3.41|  0.82| 1.104|012.07254207|+07.29992806
  3765| 5.74| 134.04|  758.04|-1141.22|  0.86| 0.890|012.09573817|+05.28061493
  3781| 5.09|  15.94|  133.21|  -34.59|  0.48| 1.345|012.14757205|-74.92343763
  3786| 4.44|  10.69|   83.14|  -50.48|  0.78| 1.500|012.17060122|+07.58507917
  3801| 4.90|   8.37|   30.28|   -9.82|  0.76|-0.091|012.20842239|+50.96816767
  3810| 5.07|  41.80|   -2.33| -201.57|  0.75| 0.502|012.24461788|+16.94064377
  3821| 3.46| 167.99| 1087.11| -559.65|  0.62| 0.587|012.27621323|+57.81518734
  3834| 5.90|  17.70|   77.47|  -59.62|  0.99| 0.944|012.30811653|-24.13667172
  3849| 5.59|  10.02|  103.34| -105.83|  0.86| 1.325|012.35673214|-13.56127432
  3881| 4.53|   4.80|   22.68|  -18.05|  0.75|-0.136|012.45353036|+41.07891087
  3885| 5.55|   9.40|   86.54|  -10.20|  0.88| 0.398|012.47152416|+27.71028626
  3909| 5.17|  64.69| -224.67| -228.44|  1.03| 0.514|012.53162924|-10.64432569
  3949| 5.24|  13.06|   62.99|   44.67|  0.59| 0.356|012.67161010|-50.98681565
  3951| 5.35|   4.01|   29.39|  -12.85|  0.58| 0.528|012.68171635|+64.24754961
  4104| 5.47|   6.52|   37.32|   33.58|  0.91| 1.275|013.16926991|-24.00584405
  4147| 4.78|   6.28|    6.49|  -16.29|  0.85| 1.550|013.25205960|-01.14426019
  4151| 4.80|  53.85|  -68.45|  169.72|  0.60| 0.540|013.26748600|+61.12396986
  4200| 5.73|   5.32|   74.42|    0.65|  0.56| 1.574|013.40780824|-62.87135169
  4267| 5.80|   8.88|   11.05|   -7.69|  1.01|-0.016|013.64677843|+19.18841742
  4283| 5.59|  13.30|   62.00|  -10.71|  0.57| 0.105|013.72122324|+83.70743556
  4288| 5.46|  25.69|  137.06|  -45.58|  1.29| 1.012|013.74211318|+23.62833516
  4292| 4.83|   8.02|  -32.24|  -40.69|  0.65| 1.216|013.75065219|+58.97269767
  4293| 5.45|  15.52|    7.92|  -43.35|  0.52| 1.095|013.75130243|-69.52708424
  4346| 5.88|   6.54|   -6.99|  -44.82|  1.00| 1.520|013.92666730|-07.34714891
  4371| 5.35|   6.24|  -26.79|   -8.01|  0.80| 1.505|014.00620874|-11.26652632
  4422| 4.62|  15.84|  -92.56|  -45.33|  0.58| 0.957|014.16627130|+59.18105564
  4427| 2.15|   5.32|   25.65|   -3.82|  0.56|-0.046|014.17721554|+60.71674038
  4436| 3.86|  23.93|  152.78|   36.82|  1.22| 0.130|014.18838148|+38.49934462
  4440| 5.56|   5.31|   27.37|   -4.77|  0.61|-0.054|014.19572198|+60.36283610
  4463| 4.40|  13.44|  -43.72|  -46.06|  0.75| 0.940|014.30166657|+23.41764802
  4510| 5.44|   4.63|    5.28|   -7.77|  0.74| 1.076|014.45896617|+28.99221671
  4552| 5.99|  17.19|   35.25|  -71.86|  0.83| 1.000|014.55924644|+33.95088455
  4572| 5.97|   8.67|   43.44|  -13.19|  0.60|-0.008|014.62942551|+66.35179335
  4577| 4.30|   4.85|   22.44|    6.30|  0.84|-0.154|014.65150376|-29.35744905
  4587| 5.62|  10.35|  -33.16|  -15.02|  0.96| 0.949|014.68278241|-11.37997546
  4675| 5.69|   7.76|   14.72|  -25.24|  1.11|-0.010|015.01483029|+44.71324291
  4770| 5.59|   5.19|   66.98|   49.92|  0.77| 1.185|015.32614858|-38.91652735
  4852| 5.50|  14.39|   81.00|   15.25|  0.73| 0.083|015.61013832|-31.55200512
  4889| 5.50|   7.87|   15.53|  -30.38|  0.68|-0.043|015.70457184|+31.80426290
  4890| 5.39|  13.86|   -2.21|   10.96|  0.61| 0.900|015.70495781|-46.39731137
  4903| 5.95|   9.49|  -16.96|  -16.95|  0.86| 0.161|015.72609450|+41.34515741
  4906| 4.27|  17.14|  -80.57|   25.88|  0.81| 0.952|015.73586845|+07.89013546
  4914| 5.40|   7.95| -117.05| -102.91|  0.86| 1.106|015.76056716|-04.83660060
  4962| 5.92|   2.16|   -1.54|   -2.96|  0.87| 0.512|015.90419046|+61.07482263
  4998| 5.99|   3.29|    1.44|  -61.03|  0.69| 1.447|016.00995611|+52.50216085
  5021| 5.83|  12.47|  -79.86|  -24.77|  0.63| 0.569|016.08104573|+61.58018388
  5081| 5.64|  18.28|    6.94|   53.33|  0.79| 0.420|016.27231523|+14.94613348
  5131| 5.33|  13.67|   44.30|  -14.32|  1.47| 0.003|016.42064722|+21.47318139
  5132| 5.55|  14.67|   53.93|  -12.63|  1.72|-0.048|016.42379923|+21.46544248
  5165| 3.32|  16.46|  -70.16|   31.60| 22.22| 0.885|016.52102840|-46.71841361
  5164| 5.58|   5.48|   30.98|    5.89|  0.68| 0.009|016.52145155|-09.83935413
  5268| 5.36|  11.68|   73.79|  -11.24|  0.50| 0.884|016.82776521|-61.77528929
  5296| 5.71|  20.97|  149.04|   16.99|  0.66| 0.446|016.94253562|-09.78555038
  5300| 5.21|  16.48|   36.00|    7.85|  0.61| 0.159|016.94938882|-41.48691608
  5310| 5.56|  20.23|   85.43|  -85.81|  0.81| 0.121|016.98818032|+20.73911258
  5317| 5.04|  16.61|  160.96|  -61.32|  0.73| 0.109|017.00353724|+43.94209203
  5336| 5.17| 132.40| 3421.44|-1599.27|  0.60| 0.704|017.06830755|+54.92033969
  5346| 5.51|  27.84| -248.40| -165.49|  0.88| 0.334|017.09249309|+05.64981907
  5348| 3.94|  11.66|   21.17|   29.70|  0.77|-0.120|017.09617396|-55.24576016
  5361| 5.77|   5.75|   17.15|  -12.39|  0.65|-0.019|017.13944472|+58.26344926
  5364| 3.46|  27.73|  215.81| -138.33|  0.71| 1.161|017.14746490|-10.18226422
  5372| 4.24|  10.43|   80.34|  -11.36|  0.50| 1.213|017.18698865|+86.25709041
  5434| 4.26|   4.43|    3.81|  -13.02|  0.80| 0.012|017.37552272|+47.24179245
  5447| 2.07|  16.36|  175.59| -112.23|  0.76| 1.576|017.43301493|+35.62055770
  5454| 5.57|   8.09|   -4.65|    9.34|  0.66| 0.697|017.45500808|+19.65840810
  5493| 5.67|  18.98| -135.76|  -41.87|  0.71| 0.603|017.57808507|+42.08147491
  5494| 5.81|   9.06|    2.92| -113.75|  0.78| 1.466|017.58104718|+25.45776341
  5510| 5.97|   3.63|   -8.69|  -15.94|  0.84| 1.491|017.63980105|+02.44566968
  5518| 5.32|  10.26|   35.26|  -27.48|  0.57|-0.014|017.66384307|+68.77862080
  5542| 4.34|  23.73|  226.62|  -19.34|  0.68| 0.170|017.77567508|+55.14990064
  5544| 5.15|   5.82|   -8.70|  -12.02|  0.78| 0.261|017.77819712|+31.42473633
  5550| 5.80|   3.56|  -15.54|   -6.96|  0.73|-0.095|017.79282306|+37.72412122
  5566| 5.56|   7.96|   40.94|  -19.30|  0.60|-0.052|017.85654762|+64.20267697
  5571| 4.66|   7.42|   41.66|  -10.55|  0.68| 1.024|017.86341750|+21.03465004
  5586| 4.51|  20.11|   74.29|  -37.61|  0.87| 1.092|017.91515340|+30.08963821
  5589| 5.57|   8.99|   23.85|  -12.92|  0.60|-0.072|017.92250739|+65.01885377
  5594| 5.93|   7.40|  -57.83|  -22.21|  0.82| 1.403|017.93128664|-02.25107885
  5626| 5.60|  11.98|   95.83|   -4.91|  0.52| 0.008|018.07008876|+79.67396298
  5661| 5.95|  13.62|   88.99|  -30.76|  0.71| 0.281|018.18930355|-37.85647867
  5737| 5.21|  22.09|  141.66|  -55.62|  2.04| 0.320|018.43285720|+07.57535376
  5742| 4.67|   8.64|   18.58|  -21.26|  0.81| 1.047|018.43727980|+24.58371315
  5778| 5.97|   6.52|  -30.59|  -26.18|  0.79|-0.082|018.53179007|+16.13347858
  5799| 5.14|  41.01|  123.67|  277.58|  0.89| 0.448|018.60016589|-07.92282573
  5833| 5.70|  22.79|  -14.55|  205.45|  0.80| 0.428|018.70488336|-00.97379475
  5862| 4.97|  66.43|  664.47|  178.12|  0.64| 0.571|018.79633762|-45.53166422
  5896| 4.25|  48.94|  411.11|  127.43|  0.53| 0.480|018.94233654|-68.87592733
  5926| 5.87|   0.22|   -1.59|   -1.18|  0.59| 2.042|019.04957827|+71.74384251
  5951| 5.42|  12.74| -100.62|  -63.95|  0.72| 0.888|019.15119996|-02.50036823
  6061| 5.13|  14.83|  -48.38|  -22.37|  0.86| 0.071|019.44981588|+03.61446601
  6193| 4.74|  10.49|   26.21|  -11.62|  0.77| 0.032|019.86664622|+27.26405858
  6226| 5.87|   8.27|    5.35|  -13.91|  1.28| 0.635|019.95123020|-00.50902871
  6242| 4.95|   1.40|   -1.31|   -2.19|  0.68| 0.683|020.02048422|+58.23161078
  6315| 5.23|   9.49|   28.53|  -75.19|  0.82| 1.396|020.28072053|+28.73820708
